tickTPDistance,stopLossMode,fixedSLDistanceTicks,netProfit,maxDrawdown,totalTrades,profitableTrades,profitFactor
15,Trailing SL,100,"+7,950.00","4,650.00",34,91.18%,2.574
15,Trailing SL,120,"+9,275.00","5,275.00",34,91.18%,3.49
15,Trailing SL,140,"+8,775.00","5,775.00",34,91.18%,3.077
15,Trailing SL,160,"+8,275.00","6,275.00",34,91.18%,2.751
15,Trailing SL,180,"+12,625.00","4,100.00",37,89.19%,9.86
15,Trailing SL,200,"+12,625.00","4,100.00",37,89.19%,9.86
15,Fixed Tick SL,100,"+7,950.00","4,650.00",34,91.18%,2.574
15,Fixed Tick SL,120,"+9,275.00","5,275.00",34,91.18%,3.49
15,Fixed Tick SL,140,"+8,775.00","5,775.00",34,91.18%,3.077
15,Fixed Tick SL,160,"+8,275.00","6,275.00",34,91.18%,2.751
15,Fixed Tick SL,180,"+12,625.00","4,100.00",37,89.19%,9.86
15,Fixed Tick SL,200,"+12,625.00","4,100.00",37,89.19%,9.86
20,Trailing SL,100,"+11,975.00","2,550.00",32,93.75%,5.696
20,Trailing SL,120,"+11,475.00","3,050.00",32,93.75%,4.762
20,Trailing SL,140,"+10,975.00","3,550.00",32,93.75%,4.092
20,Trailing SL,160,"+10,475.00","4,050.00",32,93.75%,3.586
20,Trailing SL,180,"+15,000.00","4,100.00",35,91.43%,21
20,Trailing SL,200,"+15,000.00","4,100.00",35,91.43%,21
20,Fixed Tick SL,100,"+11,975.00","2,550.00",32,93.75%,5.696
20,Fixed Tick SL,120,"+11,475.00","3,050.00",32,93.75%,4.762
20,Fixed Tick SL,140,"+10,975.00","3,550.00",32,93.75%,4.092
20,Fixed Tick SL,160,"+10,475.00","4,050.00",32,93.75%,3.586
20,Fixed Tick SL,180,"+15,000.00","4,100.00",35,91.43%,21
20,Fixed Tick SL,200,"+15,000.00","4,100.00",35,91.43%,21
25,Trailing SL,100,"+10,750.00","2,550.00",31,87.10%,4.707
25,Trailing SL,120,"+10,250.00","3,050.00",31,87.10%,4.015
25,Trailing SL,140,"+9,750.00","3,550.00",31,87.10%,3.5
25,Trailing SL,160,"+9,250.00","4,050.00",31,87.10%,3.102
25,Trailing SL,180,"+10,825.00","4,100.00",35,80.00%,4.093
25,Trailing SL,200,"+10,825.00","4,100.00",35,80.00%,4.093
25,Fixed Tick SL,100,"+11,475.00","2,550.00",29,93.10%,5.5
25,Fixed Tick SL,120,"+10,975.00","3,050.00",29,93.10%,4.598
25,Fixed Tick SL,140,"+10,475.00","3,550.00",29,93.10%,3.951
25,Fixed Tick SL,160,"+9,975.00","4,050.00",29,93.10%,3.463
25,Fixed Tick SL,180,"+14,600.00","4,100.00",32,90.63%,20.467
25,Fixed Tick SL,200,"+14,600.00","4,100.00",32,90.63%,20.467
30,Trailing SL,100,"+11,150.00","2,550.00",31,87.10%,4.845
30,Trailing SL,120,"+10,650.00","3,050.00",31,87.10%,4.132
30,Trailing SL,140,"+10,150.00","3,550.00",31,87.10%,3.603
30,Trailing SL,160,"+9,650.00","4,050.00",31,87.10%,3.193
30,Trailing SL,180,"+11,225.00","4,100.00",35,80.00%,4.207
30,Trailing SL,200,"+11,225.00","4,100.00",35,80.00%,4.207
30,Fixed Tick SL,100,"+12,075.00","2,550.00",29,93.10%,5.735
30,Fixed Tick SL,120,"+11,575.00","3,050.00",29,93.10%,4.795
30,Fixed Tick SL,140,"+11,075.00","3,550.00",29,93.10%,4.12
30,Fixed Tick SL,160,"+10,575.00","4,050.00",29,93.10%,3.611
30,Fixed Tick SL,180,"+15,450.00","4,100.00",32,90.63%,21.6
30,Fixed Tick SL,200,"+15,450.00","4,100.00",32,90.63%,21.6
